date,valor
1981,20.7
1981.00273972603,17.9
1981.00547945205,18.8
1981.00821917808,14.6
1981.01095890411,15.8
1981.01369863014,15.8
1981.01643835616,15.8
1981.01917808219,17.4
1981.02191780822,21.8
1981.02465753425,20
1981.02739726027,16.2
1981.0301369863,13.3
1981.03287671233,16.7
1981.03561643836,21.5
1981.03835616438,25
1981.04109589041,20.7
1981.04383561644,20.6
1981.04657534247,24.8
1981.04931506849,17.7
1981.05205479452,15.5
1981.05479452055,18.2
1981.05753424658,12.1
1981.0602739726,14.4
1981.06301369863,16
1981.06575342466,16.5
1981.06849315068,18.7
1981.07123287671,19.4
1981.07397260274,17.2
1981.07671232877,15.5
1981.07945205479,15.1
1981.08219178082,15.4
1981.08493150685,15.3
1981.08767123288,18.8
1981.0904109589,21.9
1981.09315068493,19.9
1981.09589041096,16.6
1981.09863013699,16.8
1981.10136986301,14.6
1981.10410958904,17.1
1981.10684931507,25
1981.1095890411,15
1981.11232876712,13.7
1981.11506849315,13.9
1981.11780821918,18.3
1981.12054794521,22
1981.12328767123,22.1
1981.12602739726,21.2
1981.12876712329,18.4
1981.13150684931,16.6
1981.13424657534,16.1
1981.13698630137,15.7
1981.1397260274,16.6
1981.14246575342,16.5
1981.14520547945,14.4
1981.14794520548,14.4
1981.15068493151,18.5
1981.15342465753,16.9
1981.15616438356,17.5
1981.15890410959,21.2
1981.16164383562,17.8
1981.16438356164,18.6
1981.16712328767,17
1981.1698630137,16
1981.17260273973,13.3
1981.17534246575,14.3
1981.17808219178,11.4
1981.18082191781,16.3
1981.18356164384,16.1
1981.18630136986,11.8
1981.18904109589,12.2
1981.19178082192,14.7
1981.19452054795,11.8
1981.19726027397,11.3
1981.2,10.6
1981.20273972603,11.7
1981.20547945205,14.2
1981.20821917808,11.2
1981.21095890411,16.9
1981.21369863014,16.7
1981.21643835616,8.1
1981.21917808219,8
1981.22191780822,8.8
1981.22465753425,13.4
1981.22739726027,10.9
1981.2301369863,13.4
1981.23287671233,11
1981.23561643836,15
1981.23835616438,15.7
1981.24109589041,14.5
1981.24383561644,15.8
1981.24657534247,16.7
1981.24931506849,16.8
1981.25205479452,17.5
1981.25479452055,17.1
1981.25753424658,18.1
1981.2602739726,16.6
1981.26301369863,10
1981.26575342466,14.9
1981.26849315068,15.9
1981.27123287671,13
1981.27397260274,7.6
1981.27671232877,11.5
1981.27945205479,13.5
1981.28219178082,13
1981.28493150685,13.3
1981.28767123288,12.1
1981.2904109589,12.4
1981.29315068493,13.2
1981.29589041096,13.8
1981.29863013699,10.6
1981.30136986301,9
1981.30410958904,10
1981.30684931507,9.8
1981.3095890411,11.5
1981.31232876712,8.9
1981.31506849315,7.4
1981.31780821918,9.9
1981.32054794521,9.3
1981.32328767123,9.9
