date,valor
1980,1954
1980.08333333333,2302
1980.16666666667,3054
1980.25,2414
1980.33333333333,2226
1980.41666666667,2725
1980.5,2589
1980.58333333333,3470
1980.66666666667,2400
1980.75,3180
1980.83333333333,4009
1980.91666666667,3924
1981,2072
1981.08333333333,2434
1981.16666666667,2956
1981.25,2828
1981.33333333333,2687
1981.41666666667,2629
1981.5,3150
1981.58333333333,4119
1981.66666666667,3030
1981.75,3055
1981.83333333333,3821
1981.91666666667,4001
1982,2529
1982.08333333333,2472
1982.16666666667,3134
1982.25,2789
1982.33333333333,2758
1982.41666666667,2993
1982.5,3282
1982.58333333333,3437
1982.66666666667,2804
1982.75,3076
1982.83333333333,3782
1982.91666666667,3889
1983,2271
1983.08333333333,2452
1983.16666666667,3084
1983.25,2522
1983.33333333333,2769
1983.41666666667,3438
1983.5,2839
1983.58333333333,3746
1983.66666666667,2632
1983.75,2851
1983.83333333333,3871
1983.91666666667,3618
1984,2389
1984.08333333333,2344
1984.16666666667,2678
1984.25,2492
1984.33333333333,2858
1984.41666666667,2246
1984.5,2800
1984.58333333333,3869
1984.66666666667,3007
1984.75,3023
1984.83333333333,3907
1984.91666666667,4209
1985,2353
1985.08333333333,2570
1985.16666666667,2903
1985.25,2910
1985.33333333333,3782
1985.41666666667,2759
1985.5,2931
1985.58333333333,3641
1985.66666666667,2794
1985.75,3070
1985.83333333333,3576
1985.91666666667,4106
1986,2452
1986.08333333333,2206
1986.16666666667,2488
1986.25,2416
1986.33333333333,2534
1986.41666666667,2521
1986.5,3093
1986.58333333333,3903
1986.66666666667,2907
1986.75,3025
1986.83333333333,3812
1986.91666666667,4209
1987,2138
1987.08333333333,2419
1987.16666666667,2622
1987.25,2912
1987.33333333333,2708
1987.41666666667,2798
1987.5,3254
1987.58333333333,2895
1987.66666666667,3263
1987.75,3736
1987.83333333333,4077
1987.91666666667,4097
1988,2175
1988.08333333333,3138
1988.16666666667,2823
1988.25,2498
1988.33333333333,2822
1988.41666666667,2738
1988.5,4137
1988.58333333333,3515
1988.66666666667,3785
1988.75,3632
1988.83333333333,4504
1988.91666666667,4451
1989,2550
1989.08333333333,2867
1989.16666666667,3458
1989.25,2961
1989.33333333333,3163
1989.41666666667,2880
1989.5,3331
1989.58333333333,3062
1989.66666666667,3534
1989.75,3622
1989.83333333333,4464
1989.91666666667,5411
1990,2564
1990.08333333333,2820
1990.16666666667,3508
1990.25,3088
1990.33333333333,3299
1990.41666666667,2939
1990.5,3320
1990.58333333333,3418
1990.66666666667,3604
1990.75,3495
1990.83333333333,4163
1990.91666666667,4882
1991,2211
1991.08333333333,3260
1991.16666666667,2992
1991.25,2425
1991.33333333333,2707
1991.41666666667,3244
1991.5,3965
1991.58333333333,3315
1991.66666666667,3333
1991.75,3583
1991.83333333333,4021
1991.91666666667,4904
1992,2252
1992.08333333333,2952
1992.16666666667,3573
1992.25,3048
1992.33333333333,3059
1992.41666666667,2731
1992.5,3563
1992.58333333333,3092
1992.66666666667,3478
1992.75,3478
1992.83333333333,4308
1992.91666666667,5029
1993,2075
1993.08333333333,3264
1993.16666666667,3308
1993.25,3688
1993.33333333333,3136
1993.41666666667,2824
1993.5,3644
1993.58333333333,4694
1993.66666666667,2914
1993.75,3686
1993.83333333333,4358
1993.91666666667,5587
1994,2265
1994.08333333333,3685
1994.16666666667,3754
1994.25,3708
1994.33333333333,3210
1994.41666666667,3517
1994.5,3905
1994.58333333333,3670
1994.66666666667,4221
1994.75,4404
1994.83333333333,5086
1994.91666666667,5725
1995,2367
1995.08333333333,3819
1995.16666666667,4067
1995.25,4022
1995.33333333333,3937
1995.41666666667,4365
1995.5,4290
